sample	sex	superpop	n_insertions_raw	n_insertions_tr
HG00290	M	EUR	12980	1495
HG00320	F	EUR	13265	1754
HG00321	M	EUR	12830	1336
HG00329	M	EUR	13162	3141
HG00350	F	EUR	13165	2321
HG00408	F	EAS	12875	2805
HG00597	F	EAS	13075	3000
HG00609	M	EAS	12844	2631
HG00639	F	AMR	13348	2501
HG01081	F	AMR	13553	2455
HG01255	M	AMR	13384	2674
HG01346	F	AMR	12950	2398
HG01433	M	AMR	13052	2572
HG01496	F	AMR	13333	2964
HG01786	F	EUR	13275	2881
HG01975	F	AMR	12776	2658
HG01993	F	AMR	12874	2997
HG02004	F	AMR	12743	2897
HG02040	M	EAS	13005	2390
HG02071	M	EAS	12863	2578
HG02132	M	EAS	12974	2309
HG02135	M	EAS	12903	2700
HG02280	F	AFR	14947	3242
HG02293	F	AMR	12664	2723
HG02392	M	EAS	13310	2297
HG02572	M	AFR	14709	2492
HG02583	F	AFR	15075	1695
HG02602	M	SAS	13058	2585
HG02630	F	AFR	14732	3144
HG02698	M	SAS	12981	2886
HG02723	F	AFR	14985	2722
HG02818	F	AFR	14994	2394
HG02922	F	AFR	14684	2703
HG02984	M	AFR	14650	2656
HG03017	M	SAS	13107	2301
HG03209	M	AFR	14923	2715
HG03453	F	AFR	14825	2509
HG03521	M	AFR	15008	2725
HG03710	M	SAS	12987	2379
HG03804	F	SAS	13238	2606
HG03816	F	SAS	13126	2252
HG04157	M	SAS	13097	2575
HG04228	M	SAS	12933	2245
NA18505	F	AFR	15044	3385
NA18508	F	AFR	15504	2277
NA18608	M	EAS	13257	2233
NA18620	M	EAS	13317	1860
NA18948	M	EAS	13318	2081
NA18952	M	EAS	13132	1779
NA18960	M	EAS	13430	1935
NA18974	M	EAS	13361	1971
NA19240	F	AFR	15295	1371
NA19682	M	AMR	13350	2574
NA19776	F	AMR	13600	2879
NA19835	F	AFR	15198	3060
NA19909	F	AFR	15204	2346
NA20129	F	AFR	14816	2544
NA20282	F	AFR	14881	1789
NA20346	M	AFR	14799	2594
NA20762	M	EUR	13395	1464
NA20806	M	EUR	13059	2408
NA20809	M	EUR	13147	1497
NA20870	M	SAS	13353	2090
NA21093	M	SAS	13456	2305
NA21106	F	SAS	13123	1848
NA21110	F	SAS	13469	2476
NA21309	F	AFR	14760	2372
