sample	population	superpopulation	sex	label_source	in_cohort	is_control
HG00290	FIN	EUR	male	1000G_3202_ped	yes	no
HG00320	FIN	EUR	female	1000G_3202_ped	yes	no
HG00321	FIN	EUR	male	1000G_3202_ped	yes	no
HG00329	FIN	EUR	male	1000G_3202_ped	yes	no
HG00350	FIN	EUR	female	1000G_3202_ped	yes	no
HG00408	CHS	EAS	female	1000G_3202_ped	yes	no
HG00597	CHS	EAS	female	1000G_3202_ped	yes	no
HG00609	CHS	EAS	male	1000G_3202_ped	yes	no
HG00639	PUR	AMR	female	1000G_3202_ped	yes	no
HG01081	PUR	AMR	female	1000G_3202_ped	yes	no
HG01255	CLM	AMR	male	1000G_3202_ped	yes	no
HG01346	CLM	AMR	female	1000G_3202_ped	yes	no
HG01433	CLM	AMR	male	1000G_3202_ped	yes	no
HG01496	CLM	AMR	female	1000G_3202_ped	yes	no
HG01786	IBS	EUR	female	1000G_3202_ped	yes	no
HG01975	PEL	AMR	female	1000G_3202_ped	yes	no
HG01993	PEL	AMR	female	1000G_3202_ped	yes	no
HG02004	PEL	AMR	female	1000G_3202_ped	yes	no
HG02040	KHV	EAS	male	1000G_3202_ped	yes	no
HG02071	KHV	EAS	male	1000G_3202_ped	yes	no
HG02132	KHV	EAS	male	1000G_3202_ped	yes	no
HG02135	KHV	EAS	male	1000G_3202_ped	yes	no
HG02280	ACB	AFR	female	1000G_3202_ped	yes	no
HG02293	PEL	AMR	female	1000G_3202_ped	yes	no
HG02392	CDX	EAS	male	1000G_3202_ped	yes	no
HG02572	GWD	AFR	male	1000G_3202_ped	yes	no
HG02583	GWD	AFR	female	1000G_3202_ped	yes	no
HG02602	PJL	SAS	male	1000G_3202_ped	yes	no
HG02630	GWD	AFR	female	1000G_3202_ped	yes	no
HG02698	PJL	SAS	male	1000G_3202_ped	yes	no
HG02723	GWD	AFR	female	1000G_3202_ped	yes	no
HG02818	GWD	AFR	female	1000G_3202_ped	yes	no
HG02922	ESN	AFR	female	1000G_3202_ped	yes	no
HG02984	GWD	AFR	male	1000G_3202_ped	yes	no
HG03017	PJL	SAS	male	1000G_3202_ped	yes	no
HG03209	MSL	AFR	male	1000G_3202_ped	yes	no
HG03453	MSL	AFR	female	1000G_3202_ped	yes	no
HG03521	ESN	AFR	male	1000G_3202_ped	yes	no
HG03710	PJL	SAS	male	1000G_3202_ped	yes	no
HG03804	BEB	SAS	female	1000G_3202_ped	yes	no
HG03816	BEB	SAS	female	1000G_3202_ped	yes	no
HG04157	BEB	SAS	male	1000G_3202_ped	yes	no
HG04228	STU	SAS	male	1000G_3202_ped	yes	no
NA18505	YRI	AFR	female	1000G_3202_ped	yes	no
NA18508	YRI	AFR	female	1000G_3202_ped	yes	no
NA18608	CHB	EAS	male	1000G_3202_ped	yes	no
NA18620	CHB	EAS	male	1000G_3202_ped	yes	no
NA18948	JPT	EAS	male	1000G_3202_ped	yes	no
NA18952	JPT	EAS	male	1000G_3202_ped	yes	no
NA18960	JPT	EAS	male	1000G_3202_ped	yes	no
NA18974	JPT	EAS	male	1000G_3202_ped	yes	no
NA19240	YRI	AFR	female	1000G_3202_ped	yes	no
NA19682	MXL	AMR	male	1000G_3202_ped	yes	no
NA19776	MXL	AMR	female	1000G_3202_ped	yes	no
NA19835	ASW	AFR	female	1000G_3202_ped	yes	no
NA19909	ASW	AFR	female	1000G_3202_ped	yes	no
NA20129	ASW	AFR	female	1000G_3202_ped	yes	no
NA20282	ASW	AFR	female	1000G_3202_ped	yes	no
NA20346	ASW	AFR	male	1000G_3202_ped	yes	no
NA20762	TSI	EUR	male	1000G_3202_ped	yes	no
NA20806	TSI	EUR	male	1000G_3202_ped	yes	no
NA20809	TSI	EUR	male	1000G_3202_ped	yes	no
NA20870	GIH	SAS	male	1000G_3202_ped	yes	no
NA21093	GIH	SAS	male	1000G_3202_ped	yes	no
NA21106	GIH	SAS	female	1000G_3202_ped	yes	no
NA21110	GIH	SAS	female	1000G_3202_ped	yes	no
NA21309	UNKNOWN	UNKNOWN	female	HPRC_PLUS_unlabelled	yes	no
chm13_ont	NA	NA	NA	control	no	yes
chm13_pacbio	NA	NA	NA	control	no	yes
