## Filtering funnel
step	rows_in	rows_removed	rows_remaining
input	613	0	613
min_repeat_coverage(>=0.8)	613	19	594
min_purity(>=0.7)	594	0	594
max_insert_size(<=10000)	594	0	594
min_depth(>=30)	594	274	320

## Unique insertion counts (chrom+ins_coord+SVID+sample)
unique_insertions_input	432
unique_insertions_output	224

## Summary by motif_length (final filtered set)
motif_length	n_trf_hits	n_unique_insertions	n_unique_samples	mean_purity	median_purity	mean_repeat_coverage	median_repeat_coverage	mean_insert_size	median_insert_size
2	26	15	3	0.862	0.851	0.9971	1.0	259.2	139.0
3	46	26	3	0.8333	0.813	0.9985	0.9995	725.6	407.5
4	70	45	3	0.8606	0.849	0.9952	1.0	508.5	176.0
5	40	27	3	0.9125	0.918	0.9958	1.0	435.7	130.0
6	21	15	3	0.9074	0.869	0.9973	1.0	326.2	269
7	10	8	2	0.8682	0.88	0.9976	0.9988	450.5	369.5
9	5	3	2	0.9192	0.931	0.9998	0.9999	4121.6	3869
10	2	2	2	0.892	0.892	0.9992	0.9992	2460	2460.0
11	4	2	2	0.9	0.9	0.9991	0.9991	1164	1164.0
15	2	1	1	0.954	0.954	0.9922	0.9922	129	129.0
16	10	6	3	0.8742	0.875	0.9996	1.0	1232.4	1454.0
18	5	5	2	0.95	0.937	0.9994	1.0	587.6	342
19	1	1	1	0.957	0.957	1.0	1.0	323	323
20	2	2	2	0.9155	0.9155	0.9981	0.9981	493	493.0
21	4	2	2	0.841	0.841	0.9984	0.9984	620	620.0
22	3	3	2	1.0	1.0	1.0	1.0	154	198
23	4	4	2	0.9565	0.9565	1.0	1.0	323	323.0
24	1	1	1	0.9	0.9	0.9981	0.9981	525	525
26	5	5	3	0.9896	1.0	1.0	1.0	219.6	191
28	6	5	3	0.9548	0.963	1.0	1.0	698.3	246.0
29	4	4	3	0.9587	0.972	0.9714	0.9963	468.8	202.0
30	6	6	2	0.9757	0.983	0.9989	1.0	439.5	240.0
31	9	6	3	0.9582	0.949	0.9992	0.9989	646.7	882
32	2	2	2	1.0	1.0	1.0	1.0	128	128.0
35	9	7	3	1.0	1.0	1.0	1.0	206.1	175
38	2	1	1	0.948	0.948	0.9993	0.9993	1389	1389.0
39	1	1	1	0.937	0.937	0.9964	0.9964	554	554
42	4	4	2	0.9515	0.9515	0.9969	0.9969	339	339.0
47	3	3	2	0.9513	0.932	0.9992	0.9995	1683.7	2173
48	1	1	1	0.956	0.956	1.0	1.0	420	420
49	1	1	1	0.992	0.992	1.0	1.0	245	245
54	3	3	2	0.943	0.951	0.9959	0.995	767	596
58	1	1	1	0.993	0.993	0.9966	0.9966	290	290
59	1	1	1	0.992	0.992	0.9992	0.9992	1180	1180
60	1	1	1	0.973	0.973	0.9966	0.9966	297	297
66	2	2	1	1.0	1.0	1.0	1.0	330	330.0
68	3	2	2	0.99	0.99	1.0	1.0	1372	1372
