window	max_motif_edits	max_fuzzy_motif	min_reference_identity	min_reference_copy_num	min_reference_length	min_purity	min_insertion_purity	min_motif_length	max_motif_length	min_rep_length	min_rep_units	n_rows	n_rows_pass	rows_known	rows_novel_motif	rows_novel_locus	n_loci	loci_known	loci_novel_motif	loci_novel_locus	frac_loci_novel	ucsc_loci_known	ucsc_loci_novel_motif	ucsc_loci_novel_locus	trexplorer_loci_known	trexplorer_loci_novel_motif	trexplorer_loci_novel_locus	objective	score
10	1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	2927	970	621	221	138	57	26	0.3756	120	70	31	118	72	31	agreement	0.6859504132231405
50	1	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	3151	757	610	221	149	52	20	0.3258	121	70	30	130	68	23	agreement	0.6050420168067226
0	2	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	1804	2058	656	221	132	57	32	0.4027	116	67	38	123	61	37	agreement	0.7807017543859649
10	0	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	923	545	0	105	75	30	0	0.2857	64	39	2	67	36	2	agreement	0.6122448979591837
10	1	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1580	407	303	175	129	24	22	0.2629	119	29	27	104	45	26	agreement	0.5679012345679012
50	2	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	4518	4518	3324	584	610	221	159	42	20	0.2805	125	66	30	149	49	23	agreement	0.5849056603773585
50	0	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1276	715	299	175	109	47	19	0.3771	86	63	26	95	58	22	agreement	0.6407766990291263
50	2	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	2020	314	0	147	137	10	0	0.068	120	25	2	128	17	2	agreement	0.2777777777777778
10	1	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1715	619	0	147	127	20	0	0.1361	114	30	3	108	37	2	agreement	0.38461538461538464
50	2	50	NA	NA	NA	0.8	0.8	NA	NA	NA	NA	4518	1468	1326	142	0	105	102	3	0	0.0286	95	9	1	97	6	2	agreement	0.2
0	2	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1692	612	30	147	125	18	4	0.1497	112	26	9	117	24	6	agreement	0.5116279069767442
0	1	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1437	518	335	175	121	27	27	0.3086	112	30	33	97	47	31	agreement	0.6206896551724138
50	1	50	NA	NA	NA	0.8	NA	NA	NA	NA	NA	4518	2290	1592	399	299	175	135	21	19	0.2286	120	29	26	110	43	22	agreement	0.5
10	1	50	NA	NA	NA	NA	0.8	NA	NA	NA	NA	4518	1939	1386	553	0	116	102	14	0	0.1207	91	23	2	88	26	2	agreement	0.358974358974359
1	1	50	NA	NA	NA	NA	0.5	NA	NA	NA	NA	4518	2334	1648	679	7	147	125	21	1	0.1497	113	30	4	105	40	2	agreement	0.4074074074074074
