	known	novel_locus	novel_motif
n_calls	167082.0	2906.0	51381.0
pct_of_total	75.48	1.31	23.21
n_unique_samples	67.0	67.0	67.0
n_unique_loci	13450.0	229.0	4080.0
n_unique_canonical_motif	2743.0	155.0	2760.0
motif_length_mean	8.2	15.2	20.5
motif_length_median	4.0	5.0	20.0
purity_mean	0.893	0.887	0.902
purity_median	0.882	0.873	0.901
insertion_purity_mean	0.995	0.983	0.996
rep_length_mean	449.6	844.9	675.4
rep_length_median	154.0	217.0	307.0
rep_units_mean	110.6	150.6	50.7
rep_units_median	37.0	27.0	20.0
repeat_coverage_mean	0.995	0.973	0.994
depth_mean	38.7	43.1	40.6
depth_median	36.0	36.0	36.0
